16	ja	 Montblanc Writers Edition: Friedrich Schiller - Füllfederhalter - Füllfeder - Limited - Jahr 2000 </h1> 	モンブラン ライターズエディション：フリードリヒ・シラー - 万年筆 - 万年筆 - 限定 - 2000年	verdaechtig_kurz_oder_falsch
17	ja	 Montblanc Writers Edition: Charles Dickens - Füllfederhalter - Füllfeder - Limited Jahr 2001 </h1> 	モンブラン ライターズエディション：チャールズ・ディケンズ - 万年筆 - 万年筆 - 限定2001年	verdaechtig_kurz_oder_falsch
18	ja	 Montblanc Writers Edition Triple Set 1998 Edgar Allan Poe - Füllfederhalter - Füllfeder - Kugelschreiber Limited ID 28707 </h1> 	モンブランライターズエディショントリプルセット1998エドガー・アラン・ポー - 万年筆 - ボールペン - 限定ID 28707	verdaechtig_kurz_oder_falsch
29	ja	Antikes Welt-Unikat / Persischer Teppich der Superlative 	アンティークの世界的なユニーク / 最高級のペルシャ絨毯	verdaechtig_kurz_oder_falsch
32	ja	Ein maßgefertigter Tisch von stiller Eleganz, kompromissloser Qualität und zeitloser Präsenz.	静かなエレガンス、妥協のない品質、そして時代を超えた存在感を持つオーダーメイドのテーブル。	verdaechtig_kurz_oder_falsch
40	ja	Einzigartiger vollausgestatteter Weinkeller in einem generalsanierten Jahrhundertwendehaus	全面装備されたユニークなワインセラーがある、全面改装された世紀末の家	verdaechtig_kurz_oder_falsch
1174	tr	Der Klassiker	Klasik	verdaechtig_kurz_oder_falsch
1174	ja	Der Klassiker	クラシック	verdaechtig_kurz_oder_falsch
1174	pl	Der Klassiker	Klasyk	verdaechtig_kurz_oder_falsch
1738	ja	Potente Limousine mit Wertsteigerungspotential	価値上昇の可能性がある高性能セダン	verdaechtig_kurz_oder_falsch
2066	ja	Betriebsfertiger Agriturismo mit eigenem Weinberg, in touristisch hochinteressanter Weingegend.	観光的に非常に魅力的なワイン産地に位置する、自営のブドウ畑を持つ運営済みのアグリツーリズモ。	verdaechtig_kurz_oder_falsch
2069	ja	Exklusive Restaurant-Villa mit vier individuell ausgestatteten Gästezimmern.	4つの個別に装備されたゲストルームを備えた高級レストランヴィラ。	verdaechtig_kurz_oder_falsch
